#rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.300381e+00	1.649817e+00	2.482501e+00	4.249917e-01	-8.169446e-01	-2.827883e-01	-2.683550e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.053810e+00	1.240736e+00	2.432175e+00	-2.660209e-01	9.508576e-01	-5.794187e-02	1.474633e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.209237e+00	4.626116e+00	1.044388e+00	-5.602697e-01	5.037438e-01	4.617457e-01	4.681143e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.250616e+00	3.815214e+00	3.327149e+00	1.598079e-01	9.865000e-01	2.866104e-02	2.139312e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.050451e+00	2.173113e+00	2.733199e+00	-9.669581e-01	1.832517e-01	1.475741e-01	-9.814645e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.212942e+00	3.275585e+00	1.156001e+00	8.684837e-02	-1.212156e-02	5.168228e-01	8.515895e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.955908e+00	3.687074e+00	4.303314e+00	1.162051e-01	3.214515e-01	7.962236e-02	-9.363897e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.483893e+00	3.708367e+00	2.315391e+00	7.356406e-01	2.066941e-01	-6.276059e-01	1.490681e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.281231e+00	1.130949e+00	1.133808e+00	-5.293971e-01	-3.259375e-01	-7.741226e-01	-1.193212e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.055658e+00	4.653298e+00	1.044015e+00	4.425385e-01	6.085036e-01	-3.860907e-01	5.336825e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.256520e+00	1.932679e+00	2.483532e+00	-9.673726e-01	-1.422140e-01	-1.215772e-01	-1.708345e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.553899e+00	2.725636e+00	4.086820e+00	-4.846502e-02	1.994623e-01	9.276612e-01	-3.119464e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.087197e+00	1.346824e+00	3.648005e+00	-5.929077e-02	1.097297e-01	-9.106367e-01	3.939351e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.623955e+00	2.215670e+00	1.537704e+00	2.403875e-01	1.479832e-01	7.228287e-01	6.307404e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.706731e+00	1.123303e+00	4.507083e+00	6.803688e-01	-3.794733e-01	-4.170612e-01	4.681434e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.997315e+00	4.940508e+00	2.083111e+00	-2.669979e-01	-9.063672e-01	-2.774939e-01	-1.738037e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.073519e+00	4.688038e+00	2.186958e+00	3.511828e-01	8.336553e-01	-3.651103e-01	2.199636e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.989512e+00	2.314462e+00	1.669035e+00	3.333109e-01	-6.523623e-02	-5.746391e-01	7.446060e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.949581e+00	2.523462e+00	3.219050e+00	-5.312044e-01	-8.451020e-01	5.206114e-02	3.023593e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.352911e+00	1.939554e+00	4.352180e+00	3.848760e-01	9.221464e-01	-1.472334e-02	3.605024e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.446812e+00	3.756273e+00	2.051325e+00	6.209322e-01	1.271272e-02	-2.121973e-01	7.544891e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.354684e+00	1.189825e+00	3.315249e+00	-1.945318e-01	-2.203229e-02	1.859099e-01	-9.628652e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.930269e+00	1.116925e+00	2.336099e+00	-2.621007e-02	5.295559e-01	-8.478545e-01	-5.140551e-03
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.187797e+00	4.609344e+00	3.575983e+00	5.928826e-01	-7.429806e-01	-2.794649e-01	1.355340e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.245140e+00	1.287944e+00	1.306807e+00	-2.289041e-01	-8.506690e-01	3.998394e-01	-2.531672e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.383112e+00	5.019444e+00	2.077082e+00	-4.162534e-01	-2.443315e-01	9.012565e-02	8.711559e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.908633e+00	4.947801e+00	1.344325e+00	-6.918984e-01	-5.894300e-03	2.861041e-01	6.628622e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.696064e+00	5.022648e+00	1.531727e+00	-5.580558e-02	-1.723912e-01	-9.834439e-01	-2.265877e-03
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.210090e+00	4.383815e+00	1.981335e+00	4.386914e-01	2.827484e-01	8.242558e-01	2.195576e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.355771e+00	3.170855e+00	2.080194e+00	-1.804973e-01	4.722874e-01	-8.245072e-01	2.540734e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.651966e+00	3.238738e+00	4.579597e+00	7.109181e-01	2.533673e-01	-6.556659e-01	2.241965e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.027952e+00	1.240518e+00	1.824261e+00	5.075929e-01	7.072218e-01	4.042826e-01	2.806107e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.047883e+00	1.199385e+00	1.112504e+00	-7.925181e-01	3.684556e-01	4.323188e-01	-2.219371e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.709882e+00	1.238019e+00	4.065487e+00	-8.024090e-01	1.573203e-01	-2.157126e-01	-5.337211e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.601814e+00	1.422147e+00	3.079389e+00	1.668940e-01	3.998107e-01	-8.481242e-01	3.049314e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.248943e+00	2.968577e+00	3.314567e+00	5.707481e-01	8.125767e-01	7.682786e-02	8.979558e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.615792e+00	1.116544e+00	4.509950e+00	-3.924402e-01	6.094554e-01	-5.540012e-01	4.094356e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.836318e+00	4.140774e+00	4.469440e+00	8.437933e-01	1.636810e-01	-4.919417e-01	1.386172e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.693321e+00	3.773395e+00	1.307655e+00	2.998537e-01	-8.683201e-02	-5.293398e-01	-7.888900e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.108840e+00	3.698852e+00	1.535069e+00	-1.765517e-01	-2.548678e-01	-7.883087e-01	5.314521e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.234171e+00	4.066782e+00	3.490563e+00	-5.591843e-01	3.839309e-01	-7.203452e-01	-1.449579e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.988682e+00	1.565458e+00	1.043632e+00	1.834255e-01	-7.485016e-02	-7.027419e-01	-6.833055e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.818213e+00	3.880528e+00	2.373213e+00	8.290992e-01	-1.754184e-01	-1.999531e-01	-4.917740e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.738555e+00	2.963701e+00	2.101702e+00	3.780430e-01	-2.498506e-01	-6.522136e-01	6.076804e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.210487e+00	2.763940e+00	3.023402e+00	1.621603e-01	9.828933e-01	8.655745e-02	-1.151423e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.730289e+00	1.380075e+00	3.638388e+00	4.243373e-02	5.040386e-01	-5.242778e-01	6.850382e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.907778e+00	1.146908e+00	3.715321e+00	1.389075e-01	6.231712e-02	1.065064e-01	-9.825872e-01
