#rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	7.536576e-03	8.045496e-03	9.559246e-03	-4.647251e-01	1.303384e-01	-1.512658e-02	8.756789e-01
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	8.124299e-03	8.050539e-03	9.094745e-03	5.234326e-01	-4.532696e-01	-3.080954e-02	-7.208438e-01
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	1.008257e-02	9.355447e-03	9.759833e-03	4.993956e-02	-8.070322e-01	3.962261e-01	-4.349827e-01
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	1.008257e-02	7.430805e-03	9.744159e-03	-8.354729e-01	-5.295840e-01	-1.079425e-01	-9.936878e-02
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	1.008258e-02	8.864586e-03	1.047676e-02	5.292279e-01	-8.159602e-01	1.256604e-01	1.957965e-01
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	9.540494e-03	8.064849e-03	8.817141e-03	-7.625210e-01	1.000600e-02	5.498245e-01	3.408148e-01
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	8.882968e-03	1.059041e-02	8.261817e-03	-3.426740e-01	-5.622447e-01	4.147569e-02	7.514887e-01
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	1.007055e-02	1.059058e-02	8.970553e-03	2.790325e-01	-9.072574e-01	1.132943e-01	-2.935801e-01
3.750000e-04	3.750000e-04	3.750000e-04	1.000000e+00	1.000000e+00	9.661330e-03	1.059042e-02	9.768617e-03	7.562458e-01	3.979941e-01	3.218322e-01	-4.075745e-01
2.975000e-04	2.975000e-04	2.975000e-04	1.000000e+00	1.000000e+00	7.811514e-03	7.347183e-03	1.055420e-02	8.496774e-02	7.323050e-01	5.817911e-01	3.435535e-01
4.250000e-04	4.250000e-04	4.250000e-04	1.000000e+00	1.000000e+00	8.977102e-03	7.961012e-03	1.042672e-02	-4.022220e-01	-3.614674e-01	-5.280476e-01	-6.547706e-01
4.250000e-04	4.250000e-04	4.250000e-04	1.000000e+00	1.000000e+00	9.872033e-03	8.707303e-03	9.159202e-03	2.230632e-01	-6.431495e-01	-3.543133e-01	6.411424e-01
4.250000e-04	4.250000e-04	4.250000e-04	1.000000e+00	1.000000e+00	7.586827e-03	8.021809e-03	1.042673e-02	5.545856e-01	-4.167008e-01	3.539754e-01	6.272931e-01
5.000000e-04	5.000000e-04	5.000000e-04	1.000000e+00	1.000000e+00	8.740261e-03	8.206970e-03	8.494316e-03	-1.677606e-01	8.035541e-01	-5.102281e-01	2.565629e-01
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	8.116387e-03	1.057344e-02	8.278797e-03	-9.197366e-01	-2.566860e-01	-1.985406e-01	-2.208585e-01
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	8.239301e-03	7.847049e-03	9.952571e-03	5.214260e-01	3.931392e-01	-5.178117e-01	-5.526550e-01
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	8.051322e-03	8.730890e-03	8.278832e-03	9.477439e-01	2.014379e-01	2.306599e-01	-8.944478e-02
