#rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3	
0.5	0.5	0.5	1	1	4.20094	1.97191	3.9155	-0.733804	-0.0488875	0.407335	0.345932
0.5	0.5	0.5	1	1	3.9922	4.55824	0.987757	0.0046244	-0.682051	-0.490977	-0.294158
0.5	0.5	0.5	1	1	1.67611	3.84115	1.38887	0.970023	-0.958249	-0.130992	-0.135839
0.5	0.5	0.5	1	1	2.76985	2.38699	3.14435	-0.769444	0.882317	-0.136955	0.75215
0.5	0.5	0.5	1	1	1.82392	2.567	4.76115	-0.0754326	-0.605808	-0.0264318	-0.806796
0.5	0.5	0.5	1	1	4.58098	3.17856	3.58648	-0.525327	0.974384	0.165895	0.0992548
0.5	0.5	0.5	1	1	0.708013	3.03484	0.0815029	-0.452846	0.214262	0.0222791	0.736593
0.5	0.5	0.5	1	1	1.21443	0.686158	4.02088	-0.749125	0.717553	0.640652	-0.48293
0.5	0.5	0.5	1	1	0.783395	2.00472	0.648952	-0.331335	0.0479872	0.863002	0.67329
0.5	0.5	0.5	1	1	0.544044	4.99462	1.09128	0.365937	-0.627975	-0.620868	0.33596
0.5	0.5	0.5	1	1	2.56466	4.19556	3.0632	-0.586224	0.248139	-0.799879	-0.355668
0.5	0.5	0.5	1	1	1.48016	3.18776	2.62144	0.130456	0.0631662	-0.603518	-0.944977
0.5	0.5	0.5	1	1	2.46791	4.86388	1.46258	0.457358	0.37005	-0.751773	0.932031
0.5	0.5	0.5	1	1	1.76229	4.03862	4.59513	0.344434	0.414122	0.031286	0.891587
0.5	0.5	0.5	1	1	0.348776	4.74664	2.62998	-0.371616	-0.946435	0.62818	-0.120741
0.5	0.5	0.5	1	1	0.430279	0.961069	3.31613	0.771118	0.268833	0.396329	-0.560216
0.5	0.5	0.5	1	1	4.45116	1.74446	0.320857	-0.68318	0.259331	-0.886926	0.682757
0.5	0.5	0.5	1	1	4.2546	1.33333	2.6988	0.631356	-0.507795	0.0187167	-0.954867
0.5	0.5	0.5	1	1	3.33862	2.65803	0.196402	0.740344	0.218838	-0.310535	-0.1292
0.5	0.5	0.5	1	1	0.829871	2.20052	4.40038	-0.717996	0.0859465	-0.0741769	0.739363
0.5	0.5	0.5	1	1	4.55486	2.41245	1.07912	-0.544004	0.17405	0.671394	0.80043
0.5	0.5	0.5	1	1	4.40531	3.2054	2.15977	-0.411828	-0.29732	0.692018	0.216556
0.5	0.5	0.5	1	1	3.09798	1.4053	3.93001	-0.243755	0.320198	-0.904185	-0.472637
0.5	0.5	0.5	1	1	2.08251	0.848035	4.53402	-0.410969	0.492144	-0.0328533	-0.094149
0.5	0.5	0.5	1	1	3.80238	4.92376	4.67502	-0.248526	0.0802202	-0.411392	-0.61717
0.5	0.5	0.5	1	1	1.84332	1.4708	1.16131	0.572425	0.607324	-0.572037	0.31277
0.5	0.5	0.5	1	1	2.92244	1.22206	0.761949	-0.173838	0.117428	-0.81643	0.108167
0.5	0.5	0.5	1	1	4.75052	0.262646	2.60782	-0.796626	0.109393	-0.152471	-0.340629
0.5	0.5	0.5	1	1	3.66327	3.28282	4.83703	-0.716557	-0.481077	-0.540199	-0.128386
0.5	0.5	0.5	1	1	3.19729	3.79867	0.467402	0.221603	-0.848181	-0.91183	0.977848
